word,reading,meaning_en,pos,common
業を煮やす,ごうをにやす,to lose one's temper,"exp,v5s",False
朱を入れる,しゅをいれる,to retouch,"exp,v1",False
生を受ける,せいをうける,to be born,"exp,v1",False
血の通った,ちのかよった,flesh-and-blood,"exp,adj-f",False
ツケを払う,つけをはらう,to pay the price (for one's actions),"exp,v5u",False
手を染める,てをそめる,to get involved (with),"exp,v1",False
手を携えて,てをたずさえて,(acting) together,exp,False
手を伸べる,てをのべる,to lend a hand,"exp,v1",False
点数を稼ぐ,てんすうをかせぐ,to score points with (a person),"exp,v5g",False
峠を越える,とうげをこえる,to pass the peak (of something),"exp,v1",False
熱を上げる,ねつをあげる,to become enthusiastic,"exp,v1",False
腹鼓を打つ,はらつづみをうつ,to eat to one's heart's content,"exp,v5t",False
腹を痛める,はらをいためる,to give birth to,"exp,v1",False
恨みを買う,うらみをかう,to incur someone's enmity,"exp,v5u",False
骨を埋める,ほねをうずめる,to make (somewhere) one's final home,"exp,v1",False
見得を切る,みえをきる,to make a proud gesture,"exp,v5r",False
水をかける,みずをかける,to hinder,"exp,v1",False
身を入れる,みをいれる,to put one's heart (into),"exp,v1",False
虫も殺さぬ,むしもころさぬ,innocent-looking,"exp,adj-pn",False
虫唾が走る,むしずがはしる,to be disgusted,"exp,v5r",False
後釜に座る,あとがまにすわる,to succeed to someone's post,"exp,v5r",False
馬脚を現す,ばきゃくをあらわす,to reveal one's true nature,"exp,v5s",False
怪我の功名,けがのこうみょう,fortunate error,"exp,n",False
蛙の面に水,かえるのつらにみず,like water off a duck's back,exp,False
尻馬に乗る,しりうまにのる,to follow suit,"exp,v5r",False
まな板の鯉,まないたのこい,someone doomed to their fate,"exp,n",False
ケリが付く,ケリがつく,to be settled,"exp,v5k",False
足元を見る,あしもとをみる,to take advantage (e.g. of a weak situation),"exp,v1",False
水をあける,みずをあける,to open up a lead (over one's opponent),"exp,v1",False
目をつける,めをつける,to have an eye on,"exp,v1",False
音を上げる,ねをあげる,to give up,"exp,v1",False
羽目を外す,はめをはずす,to go over the top,"exp,v5s",False
敷居が高い,しきいがたかい,having a high threshold (for entry),"exp,adj-i",False
耳を傾ける,みみをかたむける,to lend an ear,"exp,v1",False
袂を分かつ,たもとをわかつ,to part (from),"exp,v5t",False
腹をくくる,はらをくくる,to prepare oneself for the worst,"exp,v5r",False
棚に上げる,たなにあげる,"to shut one's eyes to (one's own faults, etc.)","exp,v1",False
あごで使う,あごでつかう,to set someone to work in an arrogant fashion,"exp,v5u",False
手玉に取る,てだまにとる,to lead (someone) by the nose,"exp,v5r",False
手がかかる,てがかかる,to take a lot of dealing with,"exp,v5r",False
紺屋の白袴,こうやのしろばかま,the shoemaker's children go barefoot,exp,False
胡麻を擂る,ごまをする,to flatter,"exp,v5r",False
釈迦に説法,しゃかにせっぽう,teaching your grandmother to suck eggs,exp,False
対岸の火事,たいがんのかじ,someone else's problem,"exp,n",False
波風が立つ,なみかぜがたつ,to be discordant,"exp,v5t",False
味を占める,あじをしめる,to be encouraged by initial success,"exp,v1",False
引導を渡す,いんどうをわたす,to give someone their final notice (e.g. when firing them),"exp,v5s",False
お株を奪う,おかぶをうばう,to beat someone at their own game,"exp,v5u",False
灸を据える,きゅうをすえる,to rake over the coals,"exp,v1",False
お茶を濁す,おちゃをにごす,to evade (questions),"exp,v5s",False
肝をつぶす,きもをつぶす,to be flabbergasted,"exp,v5s",False
猫も杓子も,ねこもしゃくしも,"every Tom, Dick and Harry",exp,False
ウドの大木,うどのたいぼく,big but useless person,"exp,n",False
水を向ける,みずをむける,to try and draw someone out,"exp,v1",False
引けを取る,ひけをとる,to be outdone (by),"exp,v5r",False
尻尾を巻く,しっぽをまく,to tuck one's tail between one's legs,"exp,v5k",False
氷山の一角,ひょうざんのいっかく,tip of the iceberg,"exp,n",False
息がかかる,いきがかかる,to have the personal support of (an influential person),"exp,v5r",False
足るを知る,たるをしる,to know one has enough,"exp,v5r",False
金魚のフン,きんぎょのふん,person who just tags along,"exp,n",False
路頭に迷う,ろとうにまよう,to be left without means of sustenance,"exp,v5u",False
前轍を踏む,ぜんてつをふむ,to repeat someone's mistake,"exp,v5m",False
煙幕を張る,えんまくをはる,to throw up a smoke screen,"exp,v5r",False
提灯に釣鐘,ちょうちんにつりがね,two ill-matched things,exp,False
闇夜の鉄砲,やみよのてっぽう,aimless attempt,"exp,n",False
焼け石に水,やけいしにみず,a drop in the bucket,exp,False
大船に乗る,おおぶねにのる,to gain a reliable foundation and be in a safe condition,"exp,v5r",False
尻をたたく,しりをたたく,to encourage to do (something),"exp,v5k",False
火をつける,ひをつける,"to spark (an incident, etc.)","exp,v1",False
ツケが回る,つけがまわる,to have to pay the price (for past mistakes),"exp,v5r",False
足をすくう,あしをすくう,to trip someone up,"exp,v5u",False
手を挙げる,てをあげる,to surrender,"exp,v1",False
自腹を切る,じばらをきる,to pay with one's own money,"exp,v5r",False
頭が下がる,あたまがさがる,to admire greatly,"exp,v5r",False
腰を上げる,こしをあげる,to (finally) start to do something,"exp,v1",False
血肉の争い,けつにくのあらそい,family quarrel,exp,False
骨肉の争い,こつにくのあらそい,family quarrel,exp,False
火蓋を切る,ひぶたをきる,"to start (an argument, a battle, etc.)","exp,v5r",False
瓢箪から駒,ひょうたんからこま,something appearing from a place one wouldn't expect,"exp,n",False
天に唾する,てんにつばする,to harm oneself as a result of trying to harm someone else,"exp,vs-s",False
破竹の勢い,はちくのいきおい,(with) great vigour (from the way splitting bamboo goes all down the stick),exp,False
猫をかぶる,ねこをかぶる,to feign friendliness,"exp,v5r",False
手が塞がる,てがふさがる,to be busy,"exp,v5r",False
水を得た魚,みずをえたうお,someone who is in their element,"exp,n",False
蓋を開ける,ふたをあける,to open the lid (on),"exp,v1",False
泣きを見る,なきをみる,to experience hardship,"exp,v1",False
頭が切れる,あたまがきれる,to be sharp,"exp,v1",False
盲亀の浮木,もうきのふぼく,unlikely event,"exp,n",False
金の世の中,かねのよのなか,money rules the world,"exp,n",False
お鉢が回る,おはちがまわる,one's turn comes around,"exp,v5r",False
功罪相償う,こうざいあいつぐなう,the good and bad deeds cancel each other out,exp,False
山が見える,やまがみえる,to have the end in sight,"exp,v1",False
四海波静か,しかいなみしずか,The world is at peace,exp,False
車軸を流す,しゃじくをながす,to rain heavily,"exp,v5s",False
分秒を争う,ふんびょうをあらそう,to have no time to lose,"exp,v5u",False
ざまあ見ろ,ざまあみろ,serves you right!,int,False
竜虎相打つ,りゅうこあいうつ,a fight between equally great opponents,exp,False
白衣の天使,はくいのてんし,nurse,"exp,n",False
味噌を擂る,みそをする,to flatter,"exp,v5r",False
山をかける,やまをかける,to speculate,"exp,v1",False
手のかかる,てのかかる,troublesome,"exp,adj-f",False
羽を伸ばす,はねをのばす,to let your hair down,"exp,v5s",False
ぶら下がり,ぶらさがり,"cornering someone by lying in wait, e.g. for an unexpected interview or photograph",n,False
ここに来て,ここにきて,recently,exp,False
花も恥らう,はなもはじらう,outblooming even a flower (of a young girl),"exp,adj-f",False
感情に走る,かんじょうにはしる,to act on one's emotions,"v5r,vi,exp",False
鼻を鳴らす,はなをならす,to coo at,"exp,v5s",False
口を糊する,くちをのりする,to eke out a living,"exp,vs-i",False
焼け野の鴉,やけののからす,blacker than black,exp,False
心が通じる,こころがつうじる,to relate to,"exp,v1",False
切れ上がる,きれあがる,to leave a clean aftertaste,"v5r,vi",False
口をつぐむ,くちをつぐむ,to hold one's tongue,"v5m,exp",False
同気相求む,どうきあいもとむ,like minds gather,exp,False
いすかの嘴,いすかのはし,(something) not coming together (as one had hoped or expected),"exp,n,adj-no",False
骨を惜しむ,ほねをおしむ,to spare oneself (the trouble),"exp,v5m",False
狐に小豆飯,きつねにあずきめし,trusting a cat with milk,exp,False
騎虎の勢い,きこのいきおい,having no choice but to carry on,"exp,n",False
手が切れる,てがきれる,to break off with (e.g. one's lover),"exp,v1",False
顔を揃える,かおをそろえる,"to all be in attendance (at a meeting, etc.)","exp,v1",False
天狗になる,てんぐになる,to get conceited,"exp,v5r",False
砂上の楼閣,さじょうのろうかく,house built on sand,"exp,n",False
手が出ない,てがでない,out of one's reach,"exp,adj-i",False
型にはまる,かたにはまる,to fit the mold,"exp,v5r",False
唾をつける,つばをつける,to call dibs,"exp,v1",False
子供の使い,こどものつかい,useless messenger,"exp,n",False
合間を縫う,あいまをぬう,to make good use of one's spare moments,"exp,v5u",False
屁でもない,へでもない,of no concern,"exp,adj-i",False
肝が据わる,きもがすわる,to have guts,"exp,v5r",False
猿の尻笑い,さるのしりわらい,the pot calling the kettle black,"exp,n",False
手が離れる,てがはなれる,to become independent,"exp,v1",False
毛の生えた,けのはえた,a bit better than,exp,False
首の皮一枚,くびのかわいちまい,still having a very small chance,exp,False
呼吸が合う,こきゅうがあう,to get along,"exp,v5u",False
粉をかける,こなをかける,to make a pass at,"exp,v1",False
鷸蚌の争い,いつぼうのあらそい,fight from which neither part benefits (but a third part does),"exp,n",False
ケツが青い,ケツがあおい,wet behind the ears,"exp,adj-i",False
尻毛を抜く,しりげをぬく,to take someone by surprise,"exp,v5k",False
高みの見物,たかみのけんぶつ,looking on from afar,"exp,n",False
手を借りる,てをかりる,to get (someone's) help,"exp,v1",False
血が流れる,ちがながれる,"to have the blood of ... running in one's veins (artist, warrior, etc.)","exp,v1",False
雷が落ちる,かみなりがおちる,to be yelled at (by someone of higher status),"exp,v1",False
尻尾を掴む,しっぽをつかむ,to have something on someone,"exp,v5m",False
心血を注ぐ,しんけつをそそぐ,to put one's heart and soul (into),"exp,v5g",False
